eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
N3TIT_E,N3TIT_E1,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Aporophyla nigra ,Black rustic ,Species ,3,3,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E2,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Xestia xanthographa ,Square spot rustic ,Species ,3,3,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E3,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Geometridae,Larval geometrid,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E4,Human_observation,2025-09-09,Animalia ,Diptera,Tipula oleracea ,Marsh crane fly ,Species ,2,2,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E5,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Noctua pronuba ,Large yellow underwing,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E6,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Paradiarsia glareosa ,Autumnal rustic ,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E7,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Xestia agathina ,Heath rustic ,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E8,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Blastobasis lacticolella,Large pale masoner ,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
N3TIT_E,N3TIT_E9,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Stilbia anomala,The anomalous,Species ,1,1,Individual,Present ,N55 42.203,W005 16.683,,,,WGS84,GB
S3TIT_E,S3TIT_E1,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Denticucullus pygmina,Small wainscot,Species ,2,2,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_E,S3TIT_E2,Human_observation,2025-09-09,Animalia ,Diptera,Tipula paludosa,European crane fly,Species ,2,2,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_E,S3TIT_E3,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Xestia castanea,Neglected rustic,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_E,S3TIT_E4,Human_observation,2025-09-09,Animalia ,Trichoptera ,Limnephilus lunatus,Caddis fly,Species ,2,2,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_E,S3TIT_E5,Human_observation,2025-09-09,Animalia ,Lepidoptera ,Dysstroma truncata,Common marbled carpet,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_E,S3TIT_E6,Human_observation,2025-09-09,Animalia ,Ixodida,Ixodes ricinus,Sheep tick ,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_E,S3TIT_E7,Human_observation,2025-09-09,Animalia ,Julida,Tachypodoiulus niger,White legged snake millipede,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_A,S3TIT_A1,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Xestia xanthographa ,Square spot rustic ,Species ,12,12,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A2,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Colostygia pectinataria,Green carpet moth,Species ,3,3,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A3,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Xestia agathina ,Heath rustic ,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
