internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
157543,Porthmidius austriacus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Porthmidius,austriacus,,,,,"(Schrank, 1781)",""
201557,Drosera anglica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,DROSERACEAE,Drosera,anglica,,,,,Huds.,""
203002,Drosera intermedia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,DROSERACEAE,Drosera,intermedia,,,,,Hayne,""
203247,Marrubium vulgare,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Marrubium,vulgare,,,,,L.,""
155966,Anisus vorticulus,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Anisus,vorticulus,,,,,"(Troschel, 1834)",It is possible to confuse specimens of Anisus vorticulus with dwarf forms of A. vortex that occur in temporary water bodies (described as Planorbis numulus Held 1837) (Terrier et al. 2006).
156100,Omphiscola glabra,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,LYMNAEIDAE,Omphiscola,glabra,,,,,"(O.F. Müller, 1774)","Two subspecies for Spain are listed: Omphiscola glabra glabra and Omphiscola glabra cantabra (Alvarez 1965, Bank et al. 2007).  "
156582,Vertigo lilljeborgi,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VERTIGINIDAE,Vertigo,lilljeborgi,,,,,"(Westerlund, 1871)",""
161949,Helosciadium repens,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,APIACEAE,Helosciadium,repens,,,,,(Jacq.) W.D.J.Koch,"There are no significant taxonomic issues associated with this name, however widespread misunderstanding of the distinction of this species from A. nodiflorum means that some records may be erroneous."
162193,Rumex rupestris,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,POLYGONACEAE,Rumex,rupestris,,,,,Le Gall,""
162310,Najas flexilis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,HYDROCHARITACEAE,Najas,flexilis,,,,,(Willd.) Rostk. &amp; W.L.E. Schmidt,There are no significant taxonomic issues associated with this name.
164166,Sparganium natans,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,TYPHACEAE,Sparganium,natans,,,,,L.,"There are no significant taxonomic issues associated with this name.It is likely that S. natans hybridises with S. hyperboreum, hybrids are rare and are unlikely to affect either the survival of the species or this assessment."
164327,Baldellia ranunculoides,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE,Baldellia,ranunculoides,,,,,(L.) Parl.,"The global taxonomy of Baldellia has been clarified by Kozlowski et al. (2008) who recognise three species: B. alpestris (Coss.) Lainz, B. ranunculoides (L.) Parl. and B. repens (Lam.) Ooststr. ex Lawalree. These three taxa are recognised by most authorities and floras, although many recognise B. repens as a subspecies of B. ranunculoides. Euro+Med Plantbase (2006-2024) recognises B. alpestris but treats B. repens as a subspecies of B. ranunculoides.Plants of the World Online (The Board of Trustees of the Royal Botanic Gardens, Kew 2019) and Flora Iberica (Castroviejo et al. 2010) recognise the three taxa as species and this is the taxonomy that has been adopted here.Inconsistent recording of the three taxa obscures the true status of populations in many regions."
164369,Baldellia repens,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE,Baldellia,repens,,,,,(Lam.) Ooststr.,"The global taxonomy of Baldellia has been clarified by Kozlowski et al. (2008) who recognise three species: B. alpestris (Coss.) Lainz, B. ranunculoides (L.) Parl. and B. repens (Lam.) Ooststr. ex Lawalree. These three taxa are recognised by most authorities and floras, although many recognise B. repens as a subspecies of B. ranunculoides. Euro+Med Plantbase (2006-2010) recognises B. alpestris but treats B. repens as a subspecies of B. ranunculoides.The World Checklist of Selected Plant Families (The Board of Trustees of the Royal Botanic Gardens, Kew 2010), Flora Iberica (Castroviejo et al. 2010), and eMonocot recognise the three taxa as species and this is the taxonomy that has been adopted here.Inconsistent recording of the three taxa obscures the true status of populations in many regions.Talavera et al. (2008), considering the variability observed in different subpopulations, separated three different subspecies;Subsp. repens: NW Africa, Canary Island and Iberian PeninsulaSubsp. cavanillesii: western EuropeSubsp. baetica: SW Iberian PeninsulaThis same criterion has been followed in Flora Iberica (Talavera et al. 2010)."
164465,Damasonium alisma,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE,Damasonium,alisma,,,,,Mill,The taxonomic treatment by Rich and Nichols-Vuille (2001) is accepted here and D. alisma sensu stricto is the subject of this assessment.
167895,Potamogeton acutifolius,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,POTAMOGETONACEAE,Potamogeton,acutifolius,,,,,Link ex Roem. &amp; Schult.,"There are no taxonomic issues that should affect records of this taxon, although there appears to be some uncertainty about distinction of some populations from P. compressus.P. acutifolius hybridises with P. berchtoldii Fieber (P. ×sudermanicus Hagstr.) at a single UK site and it appears that the hybrid has increased at the expense of P. acutifolius, however hybridisation is not seen as a threat to the European status of the species or as likely to compromise the evaluation."
167907,Potamogeton rutilus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,POTAMOGETONACEAE,Potamogeton,rutilus,,,,,Wolfg.,There are no significant taxonomic issues associated with this name.
175270,Eriophorum gracile,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Eriophorum,gracile,,,,,W.D.J.Koch,There are no significant taxonomic issues associated with this name.
175925,Spiranthes romanzoffiana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ORCHIDACEAE,Spiranthes,romanzoffiana,,,,,Cham.,""
176030,Anacamptis morio,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ORCHIDACEAE,Anacamptis,morio,,,,,"(L.) R.M.Bateman, Pridgeon &amp; M.W.Chase",""
13273,Metatrichoniscoides celticus,ANIMALIA,ARTHROPODA,MALACOSTRACA,ISOPODA,TRICHONISCIDAE,Metatrichoniscoides,celticus,,,,,"Oliver &amp; Trew, 1981",""
198709,Umbrina cirrosa,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Umbrina,cirrosa,,,,,"(Linnaeus, 1758)",""
170245,Dentex dentex,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Dentex,dentex,,,,,(Linnaeus 1758),Genetic analysis of the geographical partitioning revealed that this species showed an Atlantic-Mediterranean partitioning (Patarnello et al. 2007) indicating that exchanges between subpopulations are reduced and may limit rescue effects from migration and dispersal from other subpopulations to compensate for impacts of direct exploitation.
170244,Pagellus bogaraveo,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Pagellus,bogaraveo,,,,,"(Brünnich, 1768)",""
18155990,Anarhichas denticulatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ANARHICHADIDAE,Anarhichas,denticulatus,,,,,"Krøyer, 1845",""
18263655,Anarhichas minor,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ANARHICHADIDAE,Anarhichas,minor,,,,,"Olafsen, 1772",""
198578,Beryx decadactylus,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,BERYCIDAE,Beryx,decadactylus,,,,,"Cuvier, 1829",""
7859,Mycteroperca marginata,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Mycteroperca,marginata,,,,,"(Lowe, 1834)","Ma and Craig (2018) revised the classification of groupers, concluding that there are now nine genera: Alphestes, Cephalopholis (subsuming Aethaloperca, Gracila, and Paranthias), Dermatolepis, Epinephelus (sensu stricto), Gonioplectrus, Hyporthodus (subsuming Triso dermopterus, with the addition of three species previously placed in Epinephelus), Mycteroperca (with the addition of 11 species previously placed in Epinephelus, including E. marginatus), Plectropomus (subsuming Saloptia), and Variola."
198580,Sardina pilchardus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Sardina,pilchardus,,,,,"(Walbaum, 1792)","Morphological studies based on gill raker counts and head length supported the designation of two sub-species within Sardina pilchardus: S.p. pilchardus (Eastern Atlantic from the North Sea to southern Portugal) and S. p. sardina (Mediterranean Sea and Northwest African coast)(Parrish et al. 1989). Genetic analysis using nuclear micro satellites supports S. pilchardus as a single evolutionary unit with present day gene flow among subpopulations, with some weak but significant structuring best explained by an isolation-by-distance model (Gonzalez and Zardoya 2007). Sardina pilchardus is treated as a single evolutionary unit by fisheries managers, and the various stocks have been designated arbitrarily as magnitude of exchange between areas continues to be uncovered. This species does not appear to be as commercially important in the southeastern Mediterranean. Long-term changes in the environment are related to productivity of S. pilchardus and other sardine and anchovy species in the Mediterranean (ICES 2010)."
18237406,Cyclopterus lumpus,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,CYCLOPTERIDAE,Cyclopterus,lumpus,,,,,"Linnaeus, 1758",""
198591,Molva dypterygia,ANIMALIA,CHORDATA,ACTINOPTERYGII,GADIFORMES,LOTIDAE,Molva,dypterygia,,,,,"(Pennant, 1784)",""
15522149,Coryphaenoides rupestris,ANIMALIA,CHORDATA,ACTINOPTERYGII,GADIFORMES,MACROURIDAE,Coryphaenoides,rupestris,,,,,"Gunnerus, 1765",""
10097,Hippoglossus hippoglossus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PLEURONECTIDAE,Hippoglossus,hippoglossus,,,,,"(Linnaeus, 1758)",""
