Main group,Taxon group,Scientific Name,Common name,Conservation action needed,Avoid negative impacts,Watching brief only,Link to Species Records on NBN Gateway,Threatened species,Legally protected species,S1 - on UKBAP list,S2 - Internatnl. Obligation,S3 - Rare in the UK (<16 10km sqs),S4 - <6 Scottish 10km sqs,S5 - >25% Scottish Decline,S6a - Endemic to Scotland,S6b - endemic sub-species/ race,Taxon Version Key,UKBAP Code
,,,,,,,,,,,,,,,,,,
Mammals,land mammal,Arvicola amphibius,Water Vole,Yes,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,Yes,-,-,NHMSYS0020546253,115
Mammals,land mammal,Erinaceus europaeus,European Hedgehog,-,-,Yes,NBN map,-,-,Yes,-,-,-,,-,-,NBNSYS0000005078,2253
Mammals,land mammal,Felis silvestris,Wildcat,Yes,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,Yes,-,-,NHMSYS0000332741,2272
Mammals,land mammal,Lepus europaeus,Brown Hare,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0000080218,410
Mammals,land mammal,Lepus timidus,Mountain Hare,-,Yes,-,NBN map,-,HR 1994 3,-,-,-,-,Yes,-,-,NBNSYS0000005106,2379
Mammals,land mammal,Lutra lutra,Otter,-,Yes,-,NBN map,NT,"EPS 1,2,3",Yes,Yes,-,-,-,-,-,NBNSYS0000005133,428
Mammals,land mammal,Martes martes,Pine Marten,-,Yes,-,NBN map,-,"HR 1994 2,3",Yes,-,-,-,-,-,-,NHMSYS0000080190,2405
Mammals,land mammal,Microtus arvalis,Orkney Vole,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0000080208,
Mammals,land mammal,Mustela putorius,Polecat,-,Yes,-,NBN map,-,HR 1994 3,Yes,-,-,-,-,-,-,NBNSYS0000005129,2442
Mammals,land mammal,Myotis brandtii,Brandt's Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000528026,
Mammals,land mammal,Myotis daubentonii,Daubenton's Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000528028,
Mammals,land mammal,Myotis mystacinus,Whiskered Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080183,
Mammals,land mammal,Myotis nattereri,Natterer's Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080184,
Mammals,land mammal,Nyctalus noctula,Noctule,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080186,2459
Mammals,land mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080187,
Mammals,land mammal,Pipistrellus pipistrellus,Pipistrelle,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,-,-,-,-,NHMSYS0020001356,
Mammals,land mammal,Pipistrellus pygmaeus,Soprano Pipistrelle,-,Yes,-,NBN map,-,"EPS 1,3",Yes,Yes,-,-,-,-,-,NBNSYS0100004720,519
Mammals,land mammal,Plecotus auritus,Brown Long-eared Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NBNSYS0000005102,2517
Mammals,land mammal,Rattus rattus,Black Rat,Yes,-,-,NBN map,-,-,-,-,Yes,Yes,Yes,-,-,NHMSYS0000080213,
Mammals,land mammal,Sciurus vulgaris,Red Squirrel,Yes,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NBNSYS0000005108,565
Reptiles & amphibians,amphibian,Bufo bufo,Common Toad,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000080159,2106
Reptiles & amphibians,amphibian,Epidalea calamita,Natterjack Toad,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,Yes,-,-,-,NHMSYS0020194825,173
Reptiles & amphibians,amphibian,Triturus cristatus,Great Crested Newt,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,-,-,-,-,NHMSYS0000080156,619
Reptiles & amphibians,reptile,Anguis fragilis,Slow-worm,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NBNSYS0000005072,2039
Reptiles & amphibians,reptile,Lacerta agilis,Sand Lizard,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,Yes,-,-,-,NBNSYS0000005070,397
Reptiles & amphibians,reptile,Vipera berus,Adder,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NBNSYS0000005075,2695
Reptiles & amphibians,reptile,Zootoca vivipara,Common Lizard,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0001706186,2356
Birds,bird,Acrocephalus scirpaceus,Reed Warbler,-,Yes,-,NBN map,-,ELD,-,-,-,Yes,-,-,-,NHMSYS0000530130,
Birds,bird,Alauda arvensis,Sky Lark,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530139,80
Birds,bird,Alcedo atthis,Kingfisher,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530141,
Birds,bird,Anas querquedula,Garganey,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,-,Yes,-,-,-,NBNSYS0000000136,
Birds,bird,Anser albifrons,Greenland White-fronted Goose,Yes,Yes,-,NBN map,-,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530149,2042
Birds,bird,Anser fabalis,Bean Goose,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,Yes,-,-,-,NBNSYS0000000213,
Birds,bird,Anthus trivialis,Tree Pipit,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530162,2044
Birds,bird,Apus apus,Swift,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530165,
Birds,bird,Aquila chrysaetos,Golden Eagle,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530170,
Birds,bird,Asio flammeus,Short-eared Owl,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530180,
Birds,bird,Aythya ferina,Pochard,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000137,
Birds,bird,Aythya marila,Scaup,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,Yes,Yes,Yes,-,-,NBNSYS0000000193,2072
Birds,bird,Botaurus stellaris,Bittern,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,Yes,-,-,-,-,NHMSYS0000530210,
Birds,bird,Branta leucopsis,Barnacle Goose,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000214,
Birds,bird,Calidris alpina,Dunlin,-,Yes,-,NBN map,Red,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000035,
Birds,bird,Calidris maritima,Purple Sandpiper,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000167,
Birds,bird,Calidris temminckii,Temminck's Stint,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000174,
Birds,bird,Caprimulgus europaeus,Nightjar,Yes,Yes,-,NBN map,Red,ELD,Yes,Yes,-,-,-,-,-,NHMSYS0000530242,186
Birds,bird,Carduelis cabaret,Lesser Redpoll,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530245,2129
Birds,bird,Carduelis cannabina,Linnet,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530246,188
Birds,bird,Carduelis flavirostris subsp. bensonorum/pipilans,Twite,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0020193652,2130
Birds,bird,Carduelis spinus,Siskin,Yes,Yes,-,NBN map,-,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530252,
Birds,bird,Carpodacus erythrinus,Common Rosefinch,-,Yes,-,NBN map,-,WCA 1981 3,-,-,Yes,Yes,-,-,-,NHMSYS0000530254,
Birds,bird,Charadrius morinellus,Dotterel,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000176,
Birds,bird,Circus aeruginosus,Marsh Harrier,Yes,Yes,-,NBN map,Amber,ELD,-,Yes,-,Yes,-,-,-,NHMSYS0000530293,
Birds,bird,Circus cyaneus,Hen Harrier,-,Yes,-,NBN map,Red,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530294,
Birds,bird,Coccothraustes coccothraustes,Hawfinch,Yes,-,-,NBN map,Red,-,-,-,-,-,Yes,-,-,NHMSYS0000530302,2182
Birds,bird,Corvus cornix,Hooded Crow,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NHMSYS0000530314,
Birds,bird,Crex crex,Corn Crake,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,-,-,-,-,-,NHMSYS0000530322,244
Birds,bird,Cuculus canorus,Cuckoo,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530324,2202
Birds,bird,Cygnus columbianus,Bewick's Swan,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000200,2206
Birds,bird,Cygnus cygnus,Whooper Swan,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,Yes,-,-,-,NBNSYS0000000199,
Birds,bird,Emberiza calandra,Corn Bunting,Yes,-,-,NBN map,Red,-,Yes,-,-,-,Yes,-,-,NHMSYS0001688304,457
Birds,bird,Emberiza citrinella,Yellowhammer,-,-,Yes,NBN map,Red,-,Yes,-,-,-,-,-,-,NHMSYS0000530727,2238
Birds,bird,Emberiza schoeniclus,Reed Bunting,-,-,Yes,NBN map,Amber,-,Yes,-,-,-,-,-,-,NHMSYS0000530734,279
Birds,bird,Falco columbarius,Merlin,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530743,
Birds,bird,Falco peregrinus,Peregrine Falcon,-,Yes,-,NBN map,-,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530354,
Birds,bird,Falco subbuteo,Hobby,-,Yes,-,NBN map,-,WCA 1981 3,-,-,-,Yes,-,-,-,NHMSYS0000530357,
Birds,bird,Falco tinnunculus,Kestrel,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530358,
Birds,bird,Fringilla montifringilla,Brambling,-,Yes,-,NBN map,-,WCA 1981 3,-,-,Yes,Yes,-,-,-,NHMSYS0000530368,
Birds,bird,Gavia arctica,Black-throated Diver,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000219,2283
Birds,bird,Gavia immer,Great Northern Diver,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000220,
Birds,bird,Gavia stellata,Red-throated Diver,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000218,
Birds,bird,Haliaeetus albicilla,White-tailed Eagle,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,Yes,Yes,-,-,-,-,NBNSYS0000000281,
Birds,bird,Hydrobates pelagicus,Storm-petrel,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000236,
Birds,bird,Jynx torquilla,Wryneck,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,-,Yes,Yes,-,-,-,NHMSYS0000530418,395
Birds,bird,Lagopus lagopus subsp. scotica,Red Grouse,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0000533983,2358
Birds,bird,Lanius collurio,Red-backed Shrike,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,Yes,Yes,-,-,-,NHMSYS0000530423,
Birds,bird,Larus argentatus,Herring Gull,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000038,2362
Birds,bird,Larus ridibundus,Black-headed Gull,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000351,
Birds,bird,Limosa lapponica,Bar-tailed Godwit,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000146,
Birds,bird,Limosa limosa,Black-tailed Godwit,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000145,
Birds,bird,Locustella naevia,Grasshopper Warbler,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530444,2388
Birds,bird,Loxia pytyopsittacus,Parrot Crossbill,Yes,Yes,-,NBN map,Amber,ELD,-,-,Yes,-,-,-,-,NHMSYS0000530456,
Birds,bird,Loxia scotica,Scottish Crossbill,-,-,-,NBN map,Amber,ELD,Yes,Yes,-,-,-,Yes,-,NHMSYS0000530457,424
Birds,bird,Melanitta nigra,Common Scoter,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,-,-,-,Yes,-,-,NBNSYS0000000196,444
Birds,bird,Mergellus albellus,Smew,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NHMSYS0000530474,
Birds,bird,Milvus milvus,Red Kite,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530482,
Birds,bird,Motacilla flava,Yellow Wagtail,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530496,2440
Birds,bird,Muscicapa striata,Spotted Flycatcher,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530498,463
Birds,bird,Numenius arquata,Curlew,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000032,2458
Birds,bird,Oceanodroma leucorhoa,Leach's Storm-petrel,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,-,-,-,-,NHMSYS0000530508,
Birds,bird,Pandion haliaetus,Osprey,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000292,
Birds,bird,Panurus biarmicus,Bearded Tit,Yes,Yes,-,NBN map,Amber,WCA 1981,-,-,-,Yes,-,-,-,NHMSYS0000530526,
Birds,bird,Passer domesticus,House Sparrow,-,-,Yes,NBN map,Red,-,Yes,-,-,-,-,-,-,NHMSYS0000530537,2488
Birds,bird,Passer montanus,Tree Sparrow,Yes,-,-,NBN map,Red,-,Yes,-,-,-,Yes,-,-,NHMSYS0000530539,503
Birds,bird,Perdix perdix,Grey Partridge,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530548,506
Birds,bird,Pernis apivorus,Honey-buzzard,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,Yes,-,-,-,NHMSYS0000530550,
Birds,bird,Phalaropus lobatus,Red-necked Phalarope,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,Yes,Yes,-,-,-,NBNSYS0000000172,510
Birds,bird,Philomachus pugnax,Ruff,-,Yes,-,NBN map,Red,WCA 1981 3,-,Yes,-,-,-,-,-,NBNSYS0000000153,
Birds,bird,Phylloscopus sibilatrix,Wood Warbler,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530757,2507
Birds,bird,Plectrophenax nivalis,Snow Bunting,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,-,-,-,-,NHMSYS0000530776,
Birds,bird,Pluvialis apricaria,Golden Plover,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000029,
Birds,bird,Podiceps auritus,Slavonian Grebe,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,Yes,-,-,NBNSYS0000000224,
Birds,bird,Podiceps grisegena,Red-necked Grebe,Yes,Yes,-,NBN map,Amber,ELD,-,-,Yes,Yes,-,-,-,NBNSYS0000000223,
Birds,bird,Podiceps nigricollis,Black-necked Grebe,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000225,
Birds,bird,Poecile montanus,Willow Tit,Yes,-,-,NBN map,Red,-,-,-,-,-,Yes,-,-,NHMSYS0001688302,2486
Birds,bird,Poecile palustris subsp. palustris/dresseri,Marsh Tit,-,-,Yes,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0020212828,2487
Birds,bird,Porzana porzana,Spotted Crake,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,-,-,-,-,NHMSYS0000530787,
Birds,bird,Prunella modularis subsp. occidentalis,Hedge Accentor,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NHMSYS0020303179,2535
Birds,bird,Puffinus mauretanicus,Balearic Shearwater,Yes,Yes,-,NBN map,CR,ELD,Yes,-,Yes,Yes,-,-,-,NHMSYS0000530798,2547
